ticker,name,strategy,passed,score,max_score,score_pct,price,pe_ratio,pb_ratio,roe_pct,current_ratio,debt_to_equity,graham_number,avg_volume,backtest_edge_pct
MLI,MUELLER INDUSTRIES INC,buffett,True,6,6,100.0,63.74,9.29,2.21,23.84,5.92,0.15,66.66,"828,647",—
MLI,MUELLER INDUSTRIES INC,greenblatt,True,3,3,100.0,63.74,9.29,2.21,23.84,5.92,0.15,66.66,"828,647",—
MLI,MUELLER INDUSTRIES INC,lynch,True,4,4,100.0,63.74,9.29,2.21,23.84,5.92,0.15,66.66,"828,647",—
MLI,MUELLER INDUSTRIES INC,graham,True,8,9,88.9,63.74,9.29,2.21,23.84,5.92,0.15,66.66,"828,647",—
MLI,MUELLER INDUSTRIES INC,piotroski,True,7,9,77.8,63.74,9.29,2.21,23.84,5.92,0.15,66.66,"828,647",—
MCRI,"MONARCH CASINO & RESORT, INC.",piotroski,True,9,9,100.0,122,22.38,4.22,18.86,0.86,0.33,59.33,"115,232",—
MCRI,"MONARCH CASINO & RESORT, INC.",lynch,True,4,4,100.0,122,22.38,4.22,18.86,0.86,0.33,59.33,"115,232",—
MCRI,"MONARCH CASINO & RESORT, INC.",buffett,True,5,6,83.3,122,22.38,4.22,18.86,0.86,0.33,59.33,"115,232",—
EXLS,"EXLSERVICE HOLDINGS, INC.",piotroski,True,8,9,88.9,36.63,23.79,6.52,27.50,2.56,0.87,13.95,3M,—
EXLS,"EXLSERVICE HOLDINGS, INC.",buffett,True,5,6,83.3,36.63,23.79,6.52,27.50,2.56,0.87,13.95,3M,—
BOOT,"Boot Barn Holdings, Inc.",piotroski,True,8,9,88.9,154,20.99,3.60,17.13,2.65,0.86,84.23,"463,976",—
BOOT,"Boot Barn Holdings, Inc.",lynch,True,3,4,75.0,154,20.99,3.60,17.13,2.65,0.86,84.23,"463,976",—
AIV,Apartment Investment and Management Company,greenblatt,True,3,3,100.0,2.56,0.66,1.00,151,—,3.10,14.95,"792,190",—
DAKT,"Daktronics, Inc.",piotroski,True,8,9,88.9,19.35,21.03,3.18,15.09,2.31,—,11.23,"872,567",—
DAKT,"Daktronics, Inc.",lynch,True,3,4,75.0,19.35,21.03,3.18,15.09,2.31,—,11.23,"872,567",—
MTCH,"Match Group, Inc.",piotroski,True,8,9,88.9,41.86,17.59,—,-242,1.42,—,—,2M,—
MTCH,"Match Group, Inc.",lynch,True,3,4,75.0,41.86,17.59,—,-242,1.42,—,—,2M,—
VISN,"Vistance Networks, Inc.",greenblatt,True,3,3,100.0,6.40,0.66,—,-227,3.88,-9.06,—,6M,—
VICR,VICOR CORPORATION,piotroski,True,8,9,88.9,189,72.24,12.04,16.66,8.99,0.10,30.32,"507,674",—
VICR,VICOR CORPORATION,buffett,True,5,6,83.3,189,72.24,12.04,16.66,8.99,0.10,30.32,"507,674",—
VICR,VICOR CORPORATION,lynch,True,3,4,75.0,189,72.24,12.04,16.66,8.99,0.10,30.32,"507,674",—
HALO,"HALOZYME THERAPEUTICS, INC.",buffett,True,5,6,83.3,110,43.04,280,649,4.66,50.73,4.76,1M,—
FCFS,"FIRSTCASH HOLDINGS, INC.",piotroski,True,7,9,77.8,226,30.41,4.41,14.51,4.55,1.33,92.39,"258,124",—
IBEX,IBEX LIMITED,piotroski,True,7,9,77.8,39.17,16.60,4.59,27.45,1.82,1.03,21.30,"106,274",—
BKU,"BankUnited, Inc.",piotroski,True,8,9,88.9,46.38,13.14,1.13,8.79,—,10.47,57.13,"665,940",—
LCII,LCI INDUSTRIES,piotroski,True,8,9,88.9,103,13.55,1.87,13.83,2.85,1.33,96.57,"269,719",—
GRC,The Gorman-Rupp Company,piotroski,True,8,9,88.9,75.34,37.30,4.78,12.78,2.37,1.07,26.77,"101,358",—
SSRM,SSR Mining Inc.,piotroski,True,7,9,77.8,37.15,20.08,2.30,11.28,2.08,0.51,25.94,3M,—
XPRO,Expro Group Holdings N.V.,piotroski,True,8,9,88.9,17.96,39.91,1.36,3.37,2.16,0.47,11.58,"555,954",—
FIGS,"FIGS, Inc.",piotroski,True,8,9,88.9,14.42,75.89,5.92,7.83,4.94,0.33,3.23,3M,—
SHAK,SHAKE SHACK INC.,piotroski,True,8,9,88.9,69.40,63.67,5.53,8.70,1.76,2.56,17.55,"988,449",—
FUL,FULLER H B CO,piotroski,True,7,9,77.8,53.89,19.60,1.49,7.59,1.70,1.59,47.32,"382,258",—
MSGS,MADISON SQUARE GARDEN SPORTS CORP.,piotroski,True,9,9,100.0,391,"1,222",—,-2.95,0.50,-6.84,—,"245,071",—
BNED,"BARNES & NOBLE EDUCATION, INC.",piotroski,True,8,9,88.9,12.72,25.96,1.50,5.73,1.71,1.51,9.68,"204,458",—
